name,host,party,state,district,cms,n_press,house_end
"Diaz-Balart, Lincoln",diaz-balart.house.gov,R,FL,,generic,2000,2011-01-03
"Linder, John",linder.house.gov,R,GA,,generic,2000,2011-01-03
"McHugh, John",mchugh.house.gov,R,NY,,generic,2000,2009-09-21
"Pomeroy, Earl",pomeroy.house.gov,D,ND,,generic,2000,2011-01-03
"Lungren, Daniel",lungren.house.gov,R,CA,,generic,2000,2013-01-03
"Tierney, John",tierney.house.gov,D,MA,,generic,2000,2015-01-03
"Taylor, Charles",taylor.house.gov,R,NC,,generic,2000,2007-01-03
"Everett, Terry",everett.house.gov,R,AL,,generic,2000,2009-01-03
"Souder, Mark",souder.house.gov,R,IN,,generic,2000,2010-05-21
"Tiahrt, Todd",tiahrt.house.gov,R,KS,,generic,2000,2011-01-03
"Bono Mack, Mary",bonomack.house.gov,R,CA,,generic,2000,2013-01-03
"Boswell, Leonard",boswell.house.gov,D,IA,,generic,2000,2013-01-03
"Reyes, Silvestre",reyes.house.gov,D,TX,,generic,2000,2013-01-03
"Rothman, Steven",rothman.house.gov,D,NJ,,generic,2000,2013-01-03
"Davis, Thomas",davis.house.gov,R,VA,,generic,2000,2008-11-24
"Millender-McDonald, Juanita",millender-mcdonald.house.gov,D,CA,,generic,2000,2007-04-22
"Weller, Gerald",weller.house.gov,R,IL,,generic,2000,2009-01-03
"Wexler, Robert",wexler.house.gov,D,FL,,generic,2000,2010-01-04
"Biggert, Judy",biggert.house.gov,R,IL,,generic,2000,2013-01-03
"Bilbray, Brian",bilbray.house.gov,R,CA,,generic,2000,2013-01-03
"Gonzalez, Charles",gonzalez.house.gov,D,TX,,generic,2000,2013-01-03
"Miller, Candice",miller.house.gov,R,MI,,generic,2000,2016-12-31
"Brown, Sherrod",brown.house.gov,D,OH,,generic,2000,2007-01-03
"Hayworth, John",hayworth.house.gov,R,AZ,,generic,2000,2007-01-03
"Kelly, Sue",kelly.house.gov,R,NY,,generic,2000,2007-01-03
"Carson, Julia",carson.house.gov,D,IN,,generic,2000,2007-12-15
"Rodriguez, Ciro",rodriguez.house.gov,D,TX,,generic,2000,2011-01-03
"Akin, W.",akin.house.gov,R,MO,,generic,2000,2013-01-03
"Pence, Mike",mikepence.house.gov,R,IN,,generic,2000,2013-01-03
"Sullivan, John",sullivan.house.gov,R,OK,,generic,2000,2013-01-03
"Brown, Henry",brown.house.gov,R,SC,,generic,2000,2011-01-03
"Solis, Hilda",solis.house.gov,D,CA,,generic,2000,2009-02-24
"McCotter, Thaddeus",mccotter.house.gov,R,MI,,generic,2000,2012-07-06
"Chandler, Ben",chandler.house.gov,D,KY,,generic,2000,2013-01-03
"Miller, R.",miller.house.gov,D,NC,,generic,2000,2013-01-03
"Barrow, John",barrow.house.gov,D,GA,,generic,2000,2015-01-03
"Campbell, John",campbell.house.gov,R,CA,,generic,2000,2015-01-03
"Kirk, Mark",kirk.house.gov,R,IL,,generic,2000,2010-11-29
"Barrett, James",barrett.house.gov,R,SC,,generic,2000,2011-01-03
"Davis, Artur",davis.house.gov,D,AL,,generic,2000,2011-01-03
"Davis, Lincoln",davis.house.gov,D,TN,,generic,2000,2011-01-03
"Herseth Sandlin, Stephanie",hersethsandlin.house.gov,D,SD,,generic,2000,2011-01-03
"Davis, Geoff",davis.house.gov,R,KY,,generic,2000,2012-07-31
"Carnahan, Russ",carnahan.house.gov,D,MO,,generic,2000,2013-01-03
"Mack, Connie",mack.house.gov,R,FL,,generic,2000,2013-01-03
"Schmidt, Jean",schmidt.house.gov,R,OH,,generic,2000,2013-01-03
"Braley, Bruce",braley.house.gov,D,IA,,generic,2000,2015-01-03
"Broun, Paul",broun.house.gov,R,GA,,generic,2000,2015-01-03
"Kennedy, Mark",kennedy.house.gov,R,MN,,generic,2000,2007-01-03
"Porter, Jon",porter.house.gov,R,NV,,generic,2000,2009-01-03
"Melancon, Charles",melancon.house.gov,D,LA,,generic,2000,2011-01-03
"Giffords, Gabrielle",giffords.house.gov,D,AZ,,generic,2000,2012-01-25
"Altmire, Jason",altmire.house.gov,D,PA,,generic,2000,2013-01-03
"Richardson, Laura",richardson.house.gov,D,CA,,generic,2000,2013-01-03
"Sutton, Betty",sutton.house.gov,D,OH,,generic,2000,2013-01-03
"Hahn, Janice",hahn.house.gov,D,CA,,generic,2000,2016-12-04
"Harris, Katherine",harris.house.gov,R,FL,,generic,2000,2007-01-03
"Kuhl, John",kuhl.house.gov,R,NY,,generic,2000,2009-01-03
"Arcuri, Michael",arcuri.house.gov,D,NY,,generic,2000,2011-01-03
"Ellsworth, Brad",ellsworth.house.gov,D,IN,,generic,2000,2011-01-03
"Hare, Phil",hare.house.gov,D,IL,,generic,2000,2011-01-03
"Mitchell, Harry",mitchell.house.gov,D,AZ,,generic,2000,2011-01-03
"Sestak, Joe",sestak.house.gov,D,PA,,generic,2000,2011-01-03
"Wilson, Charles",wilson.house.gov,D,OH,,generic,2000,2011-01-03
"Lee, Christopher",lee.house.gov,R,NY,,generic,2000,2011-02-09
"Critz, Mark",critz.house.gov,D,PA,,generic,2000,2013-01-03
"Griffin, Tim",griffin.house.gov,R,AR,,generic,2000,2015-01-03
"Runyan, Jon",runyan.house.gov,R,NJ,,generic,2000,2015-01-03
"Barber, Ron",barber.house.gov,D,AZ,,generic,2000,2015-01-03
"Stockman, Steve",stockman.house.gov,R,TX,,generic,2000,2015-01-03
"Grimm, Michael",grimm.house.gov,R,NY,,generic,2000,2015-01-03
"Davis, David",davis.house.gov,R,TN,,generic,2000,2009-01-03
"Bright, Bobby",bright.house.gov,D,AL,,generic,2000,2011-01-03
"Cao, Anh",cao.house.gov,R,LA,,generic,2000,2011-01-03
"Dahlkemper, Kathleen",dahlkemper.house.gov,D,PA,,generic,2000,2011-01-03
"Markey, Betsy",markey.house.gov,D,CO,,generic,2000,2011-01-03
"Teague, Harry",teague.house.gov,D,NM,,generic,2000,2011-01-03
"Murphy, Scott",murphy.house.gov,D,NY,,generic,2000,2011-01-03
"Buerkle, Ann Marie",buerkle.house.gov,R,NY,,generic,2000,2013-01-03
"Canseco, Francisco",canseco.house.gov,R,TX,,generic,2000,2013-01-03
"Cravaack, Chip",cravaack.house.gov,R,MN,,generic,2000,2013-01-03
"Hayworth, Nan",hayworth.house.gov,R,NY,,generic,2000,2013-01-03
"Landry, Jeff",landry.house.gov,R,LA,,generic,2000,2013-01-03
"Rivera, David",rivera.house.gov,R,FL,,generic,2000,2013-01-03
"Schilling, Robert",schilling.house.gov,R,IL,,generic,2000,2013-01-03
"Walsh, Joe",walsh.house.gov,R,IL,,generic,2000,2013-01-03
"West, Allen",west.house.gov,R,FL,,generic,2000,2013-01-03
"Curson, David",curson.house.gov,D,MI,,generic,2000,2013-01-03
"Radel, Trey",radel.house.gov,R,FL,,generic,2000,2014-01-27
"Negrete McLeod, Gloria",negretemcleod.house.gov,D,CA,,generic,2000,2015-01-03
"Enyart, William",enyart.house.gov,D,IL,,generic,2000,2015-01-03
"Gallego, Pete",gallego.house.gov,D,TX,,generic,2000,2015-01-03
"Alexander, Rodney",alexander.house.gov,R,LA,,generic,1994,2013-09-27
"Space, Zachary",space.house.gov,D,OH,,generic,1965,2011-01-03
"Gerlach, Jim",gerlach.house.gov,R,PA,,generic,1961,2015-01-03
"Berry, Robert",berry.house.gov,D,AR,,generic,1946,2011-01-03
"Klein, Ron",klein.house.gov,D,FL,,generic,1909,2011-01-03
"Childers, Travis",childers.house.gov,D,MS,,generic,1883,2011-01-03
"Owens, Major",owens.house.gov,D,NY,,generic,1866,2007-01-03
"Owens, William",owens.house.gov,D,NY,,generic,1866,2015-01-03
"Kilpatrick, Carolyn",kilpatrick.house.gov,D,MI,,generic,1852,2011-01-03
"Weiner, Anthony",weiner.house.gov,D,NY,,generic,1839,2011-06-21
"Berkley, Shelley",berkley.house.gov,D,NV,,generic,1805,2013-01-03
"Myrick, Sue",myrick.house.gov,R,NC,,generic,1716,2013-01-03
"Boccieri, John",boccieri.house.gov,D,OH,,generic,1681,2011-01-03
"Quayle, Ben",quayle.house.gov,R,AZ,,generic,1670,2013-01-03
"Boyd, Allen",boyd.house.gov,D,FL,,generic,1568,2011-01-03
"Abercrombie, Neil",abercrombie.house.gov,D,HI,,generic,1541,2010-03-01
"Donnelly, Joe",donnelly.house.gov,D,IN,,generic,1504,2013-01-03
"Sali, Bill",sali.house.gov,R,ID,,generic,1476,2009-01-03
"Chocola, Chris",chocola.house.gov,R,IN,,generic,1412,2007-01-03
"Shadegg, John",johnshadegg.house.gov,R,AZ,,generic,1401,2011-01-03
"Adler, John",adler.house.gov,D,NJ,,generic,1374,2011-01-03
"Schwarz, John",schwarz.house.gov,R,MI,,generic,1373,2007-01-03
"Kildee, Dale",kildee.house.gov,D,MI,,generic,1354,2013-01-03
"Doolittle, John",doolittle.house.gov,R,CA,,generic,1343,2009-01-03
"Cardoza, Dennis",cardoza.house.gov,D,CA,,generic,1340,2012-08-15
"Reynolds, Thomas",reynolds.house.gov,R,NY,,generic,1322,2009-01-03
"Musgrave, Marilyn",musgrave.house.gov,R,CO,,generic,1304,2009-01-03
"Tancredo, Thomas",tancredo.house.gov,R,CO,,generic,1272,2009-01-03
"Kratovil, Frank",kratovil.house.gov,D,MD,,generic,1230,2011-01-03
"Perriello, Thomas",perriello.house.gov,D,VA,,generic,1208,2011-01-03
"Shaw, E.",shaw.house.gov,R,FL,,generic,1172,2007-01-03
"Carney, Christopher",carney.house.gov,D,PA,,generic,1149,2011-01-03
"Weldon, W.",weldon.house.gov,R,PA,,generic,1147,2007-01-03
"Weldon, David",weldon.house.gov,R,FL,,generic,1147,2009-01-03
"Austria, Steve",austria.house.gov,R,OH,,generic,1134,2013-01-03
"Ryun, Jim",ryun.house.gov,R,KS,,generic,1106,2007-01-03
"Drake, Thelma",drake.house.gov,R,VA,,generic,1099,2009-01-03
"McMahon, Michael",mcmahon.house.gov,D,NY,,generic,1074,2011-01-03
"Spratt, John",spratt.house.gov,D,SC,,generic,1049,2011-01-03
"Hooley, Darlene",hooley.house.gov,D,OR,,generic,1043,2009-01-03
"Massa, Eric",massa.house.gov,D,NY,,generic,1011,2010-03-08
"Hill, Baron",hill.house.gov,D,IN,,generic,997,2011-01-03
"Baca, Joe",baca.house.gov,D,CA,,generic,964,2013-01-03
"Nye, Glenn",nye.house.gov,D,VA,,generic,944,2011-01-03
"Griffith, Parker",griffith.house.gov,R,AL,,generic,907,2011-01-03
"LaTourette, Steven",latourette.house.gov,R,OH,,generic,881,2013-01-03
"Cannon, Christopher",cannon.house.gov,R,UT,,generic,850,2009-01-03
"Mollohan, Alan",mollohan.house.gov,D,WV,,generic,846,2011-01-03
"Jindal, Bobby",jindal.house.gov,R,LA,,generic,837,2008-01-14
"Keller, Ric",keller.house.gov,R,FL,,generic,836,2009-01-03
"Lampson, Nicholas",lampson.house.gov,D,TX,,generic,831,2009-01-03
"Sodrel, Michael",sodrel.house.gov,R,IN,,generic,796,2007-01-03
"Regula, Ralph",regula.house.gov,R,OH,,generic,777,2009-01-03
"Tanner, John",tanner.house.gov,D,TN,,generic,772,2011-01-03
"Heller, Dean",heller.house.gov,R,NV,,generic,768,2011-05-09
"Minnick, Walter",minnick.house.gov,D,ID,,generic,751,2011-01-03
"Simmons, Robert",simmons.house.gov,R,CT,,generic,735,2007-01-03
"Driehaus, Steve",driehaus.house.gov,D,OH,,generic,676,2011-01-03
"Harman, Jane",harman.house.gov,D,CA,,generic,604,2011-02-28
"Hodes, Paul",hodes.house.gov,D,NH,,generic,597,2011-01-03
"Emerson, Jo Ann",emerson.house.gov,R,MO,,generic,595,2013-01-22
"Shuler, Heath",shuler.house.gov,D,NC,,generic,590,2013-01-03
"Putnam, Adam",adamputnam.house.gov,R,FL,,generic,528,2011-01-03
"Delahunt, William",delahunt.house.gov,D,MA,,generic,465,2011-01-03
"Boren, Dan",boren.house.gov,D,OK,,generic,449,2013-01-03
"Watson, Diane",watson.house.gov,D,CA,,generic,445,2011-01-03
"Ehlers, Vernon",ehlers.house.gov,R,MI,,generic,430,2011-01-03
"Gillmor, Paul",gillmor.house.gov,R,OH,,generic,404,2007-09-05
"Bonilla, Henry",bonilla.house.gov,R,TX,,generic,401,2007-01-03
"Northup, Anne",northup.house.gov,R,KY,,generic,326,2007-01-03
"LaHood, Ray",lahood.house.gov,R,IL,,generic,314,2009-01-03
"Otter, C.L.",otter.house.gov,R,ID,,generic,292,2007-01-03
"Nussle, James",nussle.house.gov,R,IA,,generic,291,2007-01-03
"Allen, Thomas",allen.house.gov,D,ME,,generic,288,2009-01-03
"Oxley, Michael",oxley.house.gov,R,OH,,generic,270,2007-01-03
"Cazayoux, Donald",cazayoux.house.gov,D,LA,,generic,249,2009-01-03
"Jefferson, William",jefferson.house.gov,D,LA,,generic,231,2009-01-03
"Djou, Charles",djou.house.gov,R,HI,,generic,225,2011-01-03
"Hart, Melissa",hart.house.gov,R,PA,,generic,220,2007-01-03
"McCrery, James",mccrery.house.gov,R,LA,,generic,97,2009-01-03
"Takai, Mark",takai.house.gov,D,HI,,generic,83,2016-07-20
"Pombo, Richard",pombo.house.gov,R,CA,,generic,68,2007-01-03
"Meek, Kendrick",meek.house.gov,D,FL,,generic,67,2011-01-03
"Inslee, Jay",inslee.house.gov,D,WA,,generic,60,2012-03-20
"Hobson, David",hobson.house.gov,R,OH,,generic,56,2009-01-03
"McCarthy, Carolyn",mccarthy.house.gov,D,NY,,generic,13,2015-01-03
"Saxton, H.",saxton.house.gov,R,NJ,,generic,1,2009-01-03
"Gallegly, Elton",gallegly.house.gov,R,CA,,generic,1,2013-01-03
"Buyer, Stephen",buyer.house.gov,R,IN,,generic,1,2011-01-03
"Stupak, Bart",stupak.house.gov,D,MI,,generic,1,2011-01-03
"Gibbons, James",gibbons.house.gov,R,NV,,generic,1,2007-01-03
"Miller, George",miller.house.gov,D,CA,,generic,0,2015-01-03
"Oberstar, James",oberstar.house.gov,D,MN,,generic,0,2011-01-03
"Petri, Thomas",petri.house.gov,R,WI,,generic,0,2015-01-03
"Lewis, Jerry",jerrylewis.house.gov,R,CA,,generic,0,2013-01-03
"Dreier, David",dreier.house.gov,R,CA,,generic,0,2013-01-03
"Thomas, William",thomas.house.gov,R,CA,,generic,0,2007-01-03
"Boucher, Frederick",boucher.house.gov,D,VA,,generic,0,2011-01-03
"Costello, Jerry",costello.house.gov,D,IL,,generic,0,2013-01-03
"Herger, Walter",herger.house.gov,R,CA,,generic,0,2013-01-03
"Evans, Lane",evans.house.gov,D,IL,,generic,0,2007-01-03
"Johnson, Nancy",johnson.house.gov,R,CT,,generic,0,2007-01-03
"Pastor, Ed",pastor.house.gov,D,AZ,,generic,0,2015-01-03
"Hastert, J.",hastert.house.gov,R,IL,,generic,0,2007-11-26
"Shays, Christopher",shays.house.gov,R,CT,,generic,0,2009-01-03
"Taylor, Gene",taylor.house.gov,D,MS,,generic,0,2011-01-03
"Whitfield, Ed",whitfield.house.gov,R,KY,,generic,0,2016-09-07
"Walsh, James",walsh.house.gov,R,NY,,generic,0,2009-01-03
"Edwards, Thomas",edwards.house.gov,D,TX,,generic,0,2011-01-03
"Hastings, Doc",hastings.house.gov,R,WA,,generic,0,2015-01-03
"Gilchrest, Wayne",gilchrest.house.gov,R,MD,,generic,0,2009-01-03
"Castle, Michael",castle.house.gov,R,DE,,generic,0,2011-01-03
"Deal, Nathan",nathandeal.house.gov,R,GA,,generic,0,2010-03-22
"Hoekstra, Peter",hoekstra.house.gov,R,MI,,generic,0,2011-01-03
"Christensen, Donna",christensen.house.gov,D,VI,,generic,0,2015-01-03
"Knollenberg, Joseph",knollenberg.house.gov,R,MI,,generic,0,2009-01-03
"Lewis, Ron",lewis.house.gov,R,KY,,generic,0,2009-01-03
"Meehan, Martin",meehan.house.gov,D,MA,,generic,0,2007-07-01
"Pryce, Deborah",pryce.house.gov,R,OH,,generic,0,2009-01-03
"Wynn, Albert",wynn.house.gov,D,MD,,generic,0,2008-05-31
"Kennedy, Patrick",kennedy.house.gov,D,RI,,generic,0,2011-01-03
"Radanovich, George",radanovich.house.gov,R,CA,,generic,0,2011-01-03
"Miller, Gary",miller.house.gov,R,CA,,generic,0,2015-01-03
"Terry, Lee",terry.house.gov,R,NE,,generic,0,2015-01-03
"Cubin, Barbara",cubin.house.gov,R,WY,,generic,0,2009-01-03
"Norwood, Charles",norwood.house.gov,R,GA,,generic,0,2007-02-13
"Etheridge, Bob",etheridge.house.gov,D,NC,,generic,0,2011-01-03
"Tauscher, Ellen",tauscher.house.gov,D,CA,,generic,0,2009-06-26
"Bass, Charles",bass.house.gov,R,NH,,generic,0,2013-01-03
"Blunt, Roy",blunt.house.gov,R,MO,,generic,0,2011-01-03
"Gutknecht, Gilbert",gutknecht.house.gov,R,MN,,generic,0,2007-01-03
"Hostettler, John",hostettler.house.gov,R,IN,,generic,0,2007-01-03
"McKinney, Cynthia",mckinney.house.gov,D,GA,,generic,0,2007-01-03
"Hulshof, Kenny",hulshof.house.gov,R,MO,,generic,0,2009-01-03
"Peterson, John",peterson.house.gov,R,PA,,generic,0,2009-01-03
"Inglis, Bob",inglis.house.gov,R,SC,,generic,0,2011-01-03
"Moore, Dennis",moore.house.gov,D,KS,,generic,0,2011-01-03
"Johnson, Timothy",johnson.house.gov,R,IL,,generic,0,2013-01-03
"Platts, Todd",platts.house.gov,R,PA,,generic,0,2013-01-03
"Rehberg, Dennis",rehberg.house.gov,R,MT,,generic,0,2013-01-03
"Ross, Mike",ross.house.gov,D,AR,,generic,0,2013-01-03
"Bonner, Jo",bonner.house.gov,R,AL,,generic,0,2013-08-02
"Bishop, Timothy",bishop.house.gov,D,NY,,generic,0,2015-01-03
"Michaud, Michael",michaud.house.gov,D,ME,,generic,0,2015-01-03
"Jenkins, William",jenkins.house.gov,R,TN,,generic,0,2007-01-03
"Jones, Stephanie",jones.house.gov,D,OH,,generic,0,2008-08-20
"Udall, Mark",udall.house.gov,D,CO,,generic,0,2009-01-03
"Udall, Tom",udall.house.gov,D,NM,,generic,0,2009-01-03
"Sweeney, John",sweeney.house.gov,R,NY,,generic,0,2007-01-03
"Davis, Jo Ann",joanndavis.house.gov,R,VA,,generic,0,2007-10-06
"Ferguson, Michael",ferguson.house.gov,R,NJ,,generic,0,2009-01-03
"Brown-Waite, Virginia",brown-waite.house.gov,R,FL,,generic,0,2011-01-03
"Bean, Melissa",bean.house.gov,D,IL,,generic,0,2011-01-03
"Beauprez, Bob",beauprez.house.gov,R,CO,,generic,0,2007-01-03
"Bradley, Jeb",bradley.house.gov,R,NH,,generic,0,2007-01-03
"Kagen, Steve",kagen.house.gov,D,WI,,generic,0,2011-01-03
"Kissell, Larry",kissell.house.gov,D,NC,,generic,0,2013-01-03
"Southerland, Steve",southerland.house.gov,R,FL,,generic,0,2015-01-03
"Gardner, Cory",gardner.house.gov,R,CO,,generic,0,2015-01-03
"Sekula-Gibbs, Shelley",sekulagibbs.house.gov,R,TX,,generic,0,2007-01-03
"Boyda, Nancy",nancyboyda.house.gov,D,KS,,generic,0,2009-01-03
"Mahoney, Tim",mahoney.house.gov,D,FL,,generic,0,2009-01-03
"Schauer, Mark",schauer.house.gov,D,MI,,generic,0,2011-01-03
"Adams, Sandy",adams.house.gov,R,FL,,generic,0,2013-01-03
"Clarke, Hansen",clarke.house.gov,D,MI,,generic,0,2013-01-03
"Bentivolio, Kerry",bentivolio.house.gov,R,MI,,generic,0,2015-01-03
