"name","host","party","state","district","cms","n_press"
"Frank, Barney","frank.house.gov","D","MA",4,"drupal",4000
"Paul, Ron","paul.house.gov","R","TX",14,"generic",820
"Kucinich, Dennis","kucinich.house.gov","D","OH",10,"generic",4000
"Bachmann, Michele","bachmann.house.gov","R","MN",6,"drupal",4000
"Moran, James","moran.house.gov","D","VA",8,"aspx",4000
"Latham, Tom","latham.house.gov","R","IA",3,"aspx",1713
"McKeon, Howard","mckeon.house.gov","R","CA",25,"aspx",2611
"Holt, Rush","holt.house.gov","D","NJ",12,"generic",2524
"Bachus, Spencer","bachus.house.gov","R","AL",6,"generic",2413
"Wolf, Frank","wolf.house.gov","R","VA",10,"drupal",4000
"Gingrey, Phil","gingrey.house.gov","R","GA",11,"aspx",4000
"Capps, Lois","capps.house.gov","D","CA",24,"drupal",4000
"Hall, Ralph","ralphhall.house.gov","R","TX",4,"generic",372
"Matheson, Jim","matheson.house.gov","D","UT",4,"generic",887
"McIntyre, Mike","mcintyre.house.gov","D","NC",7,"generic",780
"Cantor, Eric","cantor.house.gov","R","VA",7,"generic",4000
