"raw_tag","canonical"
"Health Care","Health Care"
"Healthcare","Health Care"
"Health","Health Care"
"Access to Affordable Healthcare","Health Care"
"Healthcare & Public Health","Health Care;Public Health"
"Lower Costs","Economy & Jobs"
"Providing Quality, Affordable Health Care","Health Care"
"Health Care & Seniors","Health Care;Seniors & Retirement"
"Education","Education"
"CTE","Education"
"Education and Opportunity","Education"
"Empowering Children to Succeed","Education;Children & Families"
"Education & Workforce Training","Education;Labor & Workers"
"Education and Workforce","Education;Labor & Workers"
"Education and Workforce Development","Education;Labor & Workers"
"Education & Workforce Development","Education;Labor & Workers"
"Committee on Education and Workforce","Education;Labor & Workers"
"Veterans","Veterans"
"Supporting Veterans","Veterans"
"Caring for Veterans","Veterans"
"Veterans Affairs","Veterans"
"Veterans' Affairs","Veterans"
"Veterans Issues","Veterans"
"Veterans and Servicemembers","Veterans"
"Veterans & Military Families","Veterans;Defense & National Security"
"Military and Veterans","Veterans;Defense & National Security"
"Military & Veterans","Veterans;Defense & National Security"
"National Security & Veterans","Defense & National Security;Veterans"
"Agriculture","Agriculture"
"Food and Agriculture","Agriculture"
"Agriculture and Food","Agriculture"
"Agriculture & Rural Development","Agriculture"
"Farmers","Agriculture"
"Natural Resources and Rural Development","Agriculture;Environment & Climate"
"Immigration","Immigration & Border"
"Immigration Reform","Immigration & Border"
"Border Security","Immigration & Border"
"Border Security and Immigration","Immigration & Border"
"Border Security & Immigration","Immigration & Border"
"Immigration & Border Security","Immigration & Border"
"Border & Homeland Security","Immigration & Border;Defense & National Security"
"Energy","Energy"
"Economy","Economy & Jobs"
"Jobs and the Economy","Economy & Jobs"
"Economy and Jobs","Economy & Jobs"
"Jobs & Economy","Economy & Jobs"
"Jobs & the Economy","Economy & Jobs"
"Jobs and Economy","Economy & Jobs"
"Economy & Jobs","Economy & Jobs"
"Jobs and Our Economy","Economy & Jobs"
"Jobs and Economic Development","Economy & Jobs"
"Economy/Jobs","Economy & Jobs"
"Economic Development","Economy & Jobs"
"Economic Prosperity","Economy & Jobs"
"Our Economy","Economy & Jobs"
"Jobs and Economic Growth","Economy & Jobs"
"Jobs","Economy & Jobs"
"Economy & Cost of Living","Economy & Jobs"
"Cost of Living","Economy & Jobs"
"Affordability","Economy & Jobs"
"Affordability and the Economy","Economy & Jobs"
"Growing a Strong Economy","Economy & Jobs"
"Trade and Economy","Trade;Economy & Jobs"
"Economy/Small Business","Economy & Jobs;Small Business"
"Economy & Small Business","Economy & Jobs;Small Business"
"Economy & Jobs (Small Business)","Economy & Jobs;Small Business"
"Economy, Jobs, & Small Businesses","Economy & Jobs;Small Business"
"Small Business, Jobs and the Economy","Small Business;Economy & Jobs"
"Jobs, Economy, and Small Business","Economy & Jobs;Small Business"
"Jobs, Manufacturing and Trade","Economy & Jobs;Trade"
"Jobs, Labor and the Economy","Economy & Jobs;Labor & Workers"
"Jobs, Labor & Entrepreneurship","Economy & Jobs;Labor & Workers"
"Standing Up For Working Families","Labor & Workers;Children & Families"
"Transportation and Infrastructure","Transportation & Infrastructure"
"Transportation","Transportation & Infrastructure"
"Transportation & Infrastructure","Transportation & Infrastructure"
"Infrastructure","Transportation & Infrastructure"
"Infrastructure & Transportation","Transportation & Infrastructure"
"Infrastructure and Transportation","Transportation & Infrastructure"
"Infrastructure & Public Works","Transportation & Infrastructure"
"Transportation Projects","Transportation & Infrastructure"
"Transportation, Infrastructure, And Housing","Transportation & Infrastructure;Housing"
"Water Infrastructure and Flood Protection","Transportation & Infrastructure;Disaster & Emergency"
"Foreign Affairs","Foreign Affairs"
"Foreign Policy","Foreign Affairs"
"Foreign Relations","Foreign Affairs"
"Foreign Affairs and Trade","Foreign Affairs;Trade"
"International Affairs and Canada","Foreign Affairs"
"National Security","Defense & National Security"
"Defense","Defense & National Security"
"National Defense","Defense & National Security"
"Defense & National Security","Defense & National Security"
"Defense and National Security","Defense & National Security"
"Defense/National Security","Defense & National Security"
"Homeland Security","Defense & National Security"
"Homeland Security And National Defense","Defense & National Security"
"Defending America","Defense & National Security"
"Peace through Strength","Defense & National Security"
"Military","Defense & National Security"
"Military and Servicemembers","Defense & National Security"
"Defense and Military","Defense & National Security"
"Defense & Military Families","Defense & National Security"
"Armed Services","Defense & National Security"
"Armed Forces & National Security","Defense & National Security"
"Intelligence","Defense & National Security"
"Cybersecurity","Defense & National Security;Technology & Broadband"
"Foreign Affairs & National Security","Foreign Affairs;Defense & National Security"
"Foreign Policy and National Security","Foreign Affairs;Defense & National Security"
"National Security and Foreign Policy","Defense & National Security;Foreign Affairs"
"National Security and Foreign Affairs","Defense & National Security;Foreign Affairs"
"National Security & Foreign Affairs","Defense & National Security;Foreign Affairs"
"National Security & Foreign Policy","Defense & National Security;Foreign Affairs"
"National Security And Foreign Policy","Defense & National Security;Foreign Affairs"
"Foreign Policy/National Security","Foreign Affairs;Defense & National Security"
"Defense and Foreign Affairs","Defense & National Security;Foreign Affairs"
"Foreign Affairs and Defense","Foreign Affairs;Defense & National Security"
"Foreign Affairs and National Security","Foreign Affairs;Defense & National Security"
"Defense, National Security & Foreign Affairs","Defense & National Security;Foreign Affairs"
"Supporting Ukraine","Foreign Affairs"
"Ukraine","Foreign Affairs"
"Israel","Foreign Affairs"
"Israel and Antisemitism","Foreign Affairs;Civil Rights & Equality"
"Israel & Combating Antisemitism","Foreign Affairs;Civil Rights & Equality"
"Cuba","Foreign Affairs"
"Haiti","Foreign Affairs"
"China","Foreign Affairs"
"Human Rights","Foreign Affairs;Civil Rights & Equality"
"Working Towards Peace in Israel and Palestine","Foreign Affairs"
"Environment","Environment & Climate"
"Climate Change","Environment & Climate"
"Climate","Environment & Climate"
"Climate Change & the Environment","Environment & Climate"
"Climate Change and the Environment","Environment & Climate"
"Environmental Conservation","Environment & Climate"
"Conservation","Environment & Climate"
"Tackling Climate Change","Environment & Climate"
"Fighting Climate Change","Environment & Climate"
"Our Planet","Environment & Climate"
"Curbing Fast Fashion Pollution","Environment & Climate"
"Protecting the Environment and Restoring the Great Lakes","Environment & Climate"
"Great Lakes and the Environment","Environment & Climate"
"Great Lakes Issues","Environment & Climate"
"Environment and Animals","Environment & Climate"
"Environment & Animal Welfare","Environment & Climate"
"Climate & Clean Energy","Environment & Climate;Energy"
"Energy and Environment","Energy;Environment & Climate"
"Energy & Environment","Energy;Environment & Climate"
"Energy And The Environment","Energy;Environment & Climate"
"Energy and the Environment","Energy;Environment & Climate"
"Energy And Environment","Energy;Environment & Climate"
"Environment and Energy","Environment & Climate;Energy"
"Environment & Energy","Environment & Climate;Energy"
"Energy & the Environment","Energy;Environment & Climate"
"Energy/Environment","Energy;Environment & Climate"
"Energy / Natural Resources","Energy;Environment & Climate"
"Energy and Natural Resources","Energy;Environment & Climate"
"Natural Resources","Environment & Climate"
"Natural Resources/Public Lands","Environment & Climate"
"Public Lands","Environment & Climate"
"Public Lands and Natural Resources","Environment & Climate"
"Colorado Lands","Environment & Climate"
"Water","Environment & Climate"
"Coastal","Environment & Climate"
"Second Amendment","Guns"
"2nd Amendment","Guns"
"Second Amendment Rights","Guns"
"Gun Violence Prevention","Guns"
"Gun Violence","Guns"
"Gun Reform","Guns"
"Preventing Gun Violence","Guns"
"Ending Gun Violence","Guns"
"Fighting for Abortion Access","Abortion & Reproductive Rights"
"Reproductive Freedom","Abortion & Reproductive Rights"
"Reproductive Rights","Abortion & Reproductive Rights"
"Protecting Life","Abortion & Reproductive Rights"
"Right to Life","Abortion & Reproductive Rights"
"Pro-Life","Abortion & Reproductive Rights"
"Pro Life","Abortion & Reproductive Rights"
"Women's Health Care","Abortion & Reproductive Rights;Health Care"
"Health Care and Reproductive Rights","Health Care;Abortion & Reproductive Rights"
"Civil Rights","Civil Rights & Equality"
