bioguide,name,state,party,house_end,n_house_terms,host,n_captures,probed
L000568,"Lee, Christopher",NY,R,2011-02-09,2,lee.house.gov,2000,2026-07-28 14:01
A000365,"Austria, Steve",OH,R,2013-01-03,2,austria.house.gov,1134,2026-07-28 14:02
C001081,"Critz, Mark",PA,D,2013-01-03,2,critz.house.gov,2000,2026-07-28 14:03
K000369,"Kissell, Larry",NC,D,2013-01-03,2,kissell.house.gov,0,2026-07-28 14:04
G000567,"Griffin, Tim",AR,R,2015-01-03,2,griffin.house.gov,2000,2026-07-28 14:05
R000594,"Runyan, Jon",NJ,R,2015-01-03,2,runyan.house.gov,2000,2026-07-28 14:06
S001186,"Southerland, Steve",FL,R,2015-01-03,2,southerland.house.gov,0,2026-07-28 14:08
B001279,"Barber, Ron",AZ,D,2015-01-03,2,barber.house.gov,2000,2026-07-28 14:10
S000937,"Stockman, Steve",TX,R,2015-01-03,2,stockman.house.gov,2000,2026-07-28 14:10
M001171,"Maffei, Daniel",NY,D,2015-01-03,2,,0,2026-07-28 14:12
G000569,"Grimm, Michael",NY,R,2015-01-03,2,grimm.house.gov,2000,2026-07-28 14:12
G000562,"Gardner, Cory",CO,R,2015-01-03,2,gardner.house.gov,0,2026-07-28 14:14
S001161,"Schwarz, John",MI,R,2007-01-03,1,schwarz.house.gov,1373,2026-07-28 14:14
S001160,"Sodrel, Michael",IN,R,2007-01-03,1,sodrel.house.gov,796,2026-07-28 14:16
S001166,"Sekula-Gibbs, Shelley",TX,R,2007-01-03,1,sekulagibbs.house.gov,0,2026-07-28 14:16
B001258,"Boyda, Nancy",KS,D,2009-01-03,1,nancyboyda.house.gov,0,2026-07-28 14:18
D000606,"Davis, David",TN,R,2009-01-03,1,davis.house.gov,2000,2026-07-28 14:20
M001164,"Mahoney, Tim",FL,D,2009-01-03,1,mahoney.house.gov,0,2026-07-28 14:21
S001167,"Sali, Bill",ID,R,2009-01-03,1,sali.house.gov,1476,2026-07-28 14:22
C001073,"Cazayoux, Donald",LA,D,2009-01-03,1,cazayoux.house.gov,249,2026-07-28 14:23
A000364,"Adler, John",NJ,D,2011-01-03,1,adler.house.gov,1374,2026-07-28 14:23
B001263,"Boccieri, John",OH,D,2011-01-03,1,boccieri.house.gov,1681,2026-07-28 14:25
B001264,"Bright, Bobby",AL,D,2011-01-03,1,bright.house.gov,2000,2026-07-28 14:26
C001079,"Cao, Anh",LA,R,2011-01-03,1,cao.house.gov,2000,2026-07-28 14:27
D000608,"Dahlkemper, Kathleen",PA,D,2011-01-03,1,dahlkemper.house.gov,2000,2026-07-28 14:27
D000609,"Driehaus, Steve",OH,D,2011-01-03,1,driehaus.house.gov,676,2026-07-28 14:28
G000557,"Griffith, Parker",AL,R,2011-01-03,1,griffith.house.gov,907,2026-07-28 14:29
H001044,"Halvorson, Deborah",IL,D,2011-01-03,1,,0,2026-07-28 14:30
K000372,"Kilroy, Mary Jo",OH,D,2011-01-03,1,,0,2026-07-28 14:31
K000370,"Kosmas, Suzanne",FL,D,2011-01-03,1,,0,2026-07-28 14:32
K000371,"Kratovil, Frank",MD,D,2011-01-03,1,kratovil.house.gov,1230,2026-07-28 14:33
M001172,"Markey, Betsy",CO,D,2011-01-03,1,markey.house.gov,2000,2026-07-28 14:33
M001173,"Massa, Eric",NY,D,2010-03-08,1,massa.house.gov,1011,2026-07-28 14:34
M001174,"McMahon, Michael",NY,D,2011-01-03,1,mcmahon.house.gov,1074,2026-07-28 14:35
M001175,"Minnick, Walter",ID,D,2011-01-03,1,minnick.house.gov,751,2026-07-28 14:35
N000183,"Nye, Glenn",VA,D,2011-01-03,1,nye.house.gov,944,2026-07-28 14:36
P000600,"Perriello, Thomas",VA,D,2011-01-03,1,perriello.house.gov,1208,2026-07-28 14:38
S001178,"Schauer, Mark",MI,D,2011-01-03,1,schauer.house.gov,0,2026-07-28 14:39
T000466,"Teague, Harry",NM,D,2011-01-03,1,teague.house.gov,2000,2026-07-28 14:41
M001178,"Murphy, Scott",NY,D,2011-01-03,1,murphy.house.gov,2000,2026-07-28 14:43
D000611,"Djou, Charles",HI,R,2011-01-03,1,djou.house.gov,225,2026-07-28 14:43
A000366,"Adams, Sandy",FL,R,2013-01-03,1,adams.house.gov,0,2026-07-28 14:45
B001272,"Berg, Rick",ND,R,2013-01-03,1,,0,2026-07-28 14:46
B001276,"Buerkle, Ann Marie",NY,R,2013-01-03,1,buerkle.house.gov,2000,2026-07-28 14:47
C001082,"Canseco, Francisco",TX,R,2013-01-03,1,canseco.house.gov,2000,2026-07-28 14:48
C001085,"Clarke, Hansen",MI,D,2013-01-03,1,clarke.house.gov,0,2026-07-28 14:50
C001086,"Cravaack, Chip",MN,R,2013-01-03,1,cravaack.house.gov,2000,2026-07-28 14:51
H001054,"Hayworth, Nan",NY,R,2013-01-03,1,hayworth.house.gov,2000,2026-07-28 14:52
L000574,"Landry, Jeff",LA,R,2013-01-03,1,landry.house.gov,2000,2026-07-28 14:53
Q000024,"Quayle, Ben",AZ,R,2013-01-03,1,quayle.house.gov,1670,2026-07-28 14:53
R000590,"Rivera, David",FL,R,2013-01-03,1,rivera.house.gov,2000,2026-07-28 14:54
S001182,"Schilling, Robert",IL,R,2013-01-03,1,schilling.house.gov,2000,2026-07-28 15:28
W000811,"Walsh, Joe",IL,R,2013-01-03,1,walsh.house.gov,2000,2026-07-28 15:30
W000807,"West, Allen",FL,R,2013-01-03,1,west.house.gov,2000,2026-07-28 15:30
H001062,"Hochul, Kathleen",NY,D,2013-01-03,1,,0,2026-07-28 15:32
T000471,"Turner, Robert",NY,R,2013-01-03,1,,0,2026-07-28 15:34
C001089,"Curson, David",MI,D,2013-01-03,1,curson.house.gov,2000,2026-07-28 15:35
R000596,"Radel, Trey",FL,R,2014-01-27,1,radel.house.gov,2000,2026-07-28 15:37
N000187,"Negrete McLeod, Gloria",CA,D,2015-01-03,1,negretemcleod.house.gov,2000,2026-07-28 15:39
G000573,"Garcia, Joe",FL,D,2015-01-03,1,,0,2026-07-28 15:40
E000292,"Enyart, William",IL,D,2015-01-03,1,enyart.house.gov,2000,2026-07-28 15:41
B001280,"Bentivolio, Kerry",MI,R,2015-01-03,1,bentivolio.house.gov,0,2026-07-28 15:43
G000572,"Gallego, Pete",TX,D,2015-01-03,1,gallego.house.gov,2000,2026-07-28 15:45
M001192,"McAllister, Vance",LA,R,2015-01-03,1,,0,2026-07-28 15:46
T000473,"Takai, Mark",HI,D,2016-07-20,1,takai.house.gov,83,2026-07-28 15:47
