bioguide,handle
R000600,repamata
Y000064,sentoddyoung
E000295,senjoniernst
T000476,senthomtillis
W000809,rep_stevewomack
W000808,repwilson
W000806,repwebster
W000805,markwarner
W000804,robwittman
W000802,senwhitehouse
W000800,peterwelch
W000798,repwalberg
W000797,repdwstweets
W000795,repjoewilson
W000779,ronwyden
W000437,senatorwicker
W000187,repmaxinewaters
V000128,chrisvanhollen
V000081,nydiavelazquez
T000469,reppaultonko
T000468,repdinatitus
T000467,congressmangt
T000463,repmiketurner
T000460,repthompson
T000250,senjohnthune
T000193,benniegthompson
S001189,austinscottga08
S001185,repterrisewell
S001184,senatortimscott
S001183,repdavid
S001181,senatorshaheen
S001176,stevescalise
S001172,repadriansmith
S001156,replindasanchez
S001148,congmikesimpson
S001145,janschakowsky
S001217,senrickscott
S000510,repadamsmith
S000344,bradsherman
S000185,bobbyscott
S000148,senschumer
S000033,sensanders
R000575,repmikerogersal
R000395,rephalrogers
R000122,senjackreed
Q000023,repmikequigley
P000603,senrandpaul
P000597,chelliepingree
P000595,sengarypeters
P000197,speakerpelosi
P000034,frankpallone
N000147,eleanornorton
N000015,reprichardneal
N000002,repjerrynadler
M001177,repmcclintock
M001176,senjeffmerkley
M001163,dorismatsui
M001160,repgwenmoore
M001157,repmccaul
M001153,lisamurkowski
M001143,bettymccollum04
M001137,repgregorymeeks
M001111,pattymurray
M000934,jerrymoran
M000355,mcconnellpress
M000312,repmcgovern
M000133,senmarkey
L000577,senmikelee
L000575,senatorlankford
L000570,senatorlujan
L000566,boblatta
L000562,repstephenlynch
L000560,repricklarsen
L000557,repjohnlarson
L000491,repfranklucas
L000397,repzoelofgren
K000376,mikekellypa
K000375,usrepkeating
K000009,repmarcykaptur
J000293,senronjohnson
J000289,jim_jordan
J000288,rephankjohnson
H001061,senjohnhoeven
H001058,rephuizenga
H001047,jahimes
H001046,martinheinrich
H001042,maziehirono
H000874,repstenyhoyer
G000568,repmgriffith
G000565,repgosar
G000559,repgaramendi
G000553,repalgreen
G000386,chuckgrassley
G000359,grahamblog
F000459,repchuck
F000450,virginiafoxx
D000616,desjarlaistn04
D000600,mariodb
D000563,senatordurbin
D000399,replloyddoggett
D000216,rosadelauro
D000197,repdianadegette
C001088,chriscoons
C001087,reprickcrawford
C001080,repjudychu
C001072,repandrecarson
C001069,repjoecourtney
C001068,repcohen
C001067,repyvetteclarke
C001063,repcuellar
C001061,repcleaver
